,tweet,username,date,time,likes_count,cleaned_tweets
26,"Winter is coming.  With a brand new color of iPad Air, Snow White.  https://t.co/pbzdJNg8vc",aaplparody,2021-09-26,01:26:01,17,winter coming brand new color ipad air snow white
47,"Within 5 years, #bitcoin's stated cap will be at least as high as market capitalizations of the individual FAAMG stocks. In about 10 years, it should exceed all 5 combined. $FB $AAPL $AMZN $MSFT $GOOG",nsquaredcrypto,2021-09-26,00:47:42,21,within 5 years stated cap least high market capitalizations individual faamg stocks 10 years exceed 5 combined fb aapl amzn msft goog
91,It's always bugged me Apple isn't APPL instead of AAPL,soffes,2021-09-25,23:59:05,26,always bugged apple appl instead aapl
102,"$AAPL probably made a daily cycle low on Monday, 44 TD from its July low. Since it broke below its July low, this correction may not be completed. If it doesn't  make a new high by early October, there's a chance for a 2nd leg down to its 200 day MA in October.  https://t.co/V8TyJewWOP",cyclesfan,2021-09-25,23:37:21,13,aapl probably made daily cycle low monday 44 td july low since broke july low correction may completed make new high early october there's chance 2nd leg 200 day october
134,From six years ago... $AAPL  https://t.co/0jlqaTHNuU,jedimarkus77,2021-09-25,22:55:47,24,six years ago aapl
172,"You own a western company with China as a large part of the growth story ( $sbux , $aapl , $lvmuy , etc… )   On a scale of 1 to 10, how worried are you that the CCP will chop off a chunk of the terminal value?",wallst_dropout,2021-09-25,22:13:12,37,western company china large part growth story sbux aapl lvmuy etc scale 1 10 worried ccp chop chunk terminal value
207,年齢：27歳 家族：妻1人、子1人 仕事：夫 一般企業 妻 公務員 資産：約4000万円 投資：楽天VTI、VTI、VOO、QQQ、AAPL、MSFT、GOOGL 目標：40歳で資産1億円 資産形成に少しでも参考になればと思います。もっと様々なことを学んでいきたいです✨,tnpaca,2021-09-25,21:28:41,28,27 11 4000 vtivtivooqqqaaplmsftgoogl 401
228,調整が来るか来ないかは分かりませんが、どっちでもいいかなと☺️  良い会社は、リーマンショックとかITバブル崩壊とかコロナショックとか乗り越えて、株価上昇してる✨ $AMZN $AAPL $NVDA $DHR etc.  そんな会社を見つけていきたい😉,momoblog0214,2021-09-25,20:53:48,90,amzn aapl nvda dhr etc
263,Interesting chart of the top 5 companies in the S&amp;P 500 $SPY as a % of the index.  Currently at 23% and make up 16% of EPS.  $AAPL $MSFT $AMZN $FB $GOOG  https://t.co/HcrK7Ove0N,enriqueabeyta,2021-09-25,19:49:17,12,interesting chart top 5 companies amp p 500 spy index currently 23 make 16 eps aapl msft amzn fb goog
294,"What does this metric look like for a ""normal"" stock?  First: $AMZN Second: $AAPL Third: $SPY (ETF, no ""shares"") Fourth: $TSLA (not normal, but for reference)  https://t.co/pU762Y7zH6",thatguyastro,2021-09-25,18:52:12,37,metric look like normal stock first amzn second aapl third spy etf shares fourth tsla normal reference
328,"It’s alive! This is our 25 year old Apple Network Server 500: the first Apple computer with wheels, but not the last.  https://t.co/GZ7LS2I845",aaplcollection,2021-09-25,17:19:55,144,alive 25 year old apple network server 500 first apple computer wheels last
342,"Despite the volatility, p/f ended flat on the wk, still -1.1% for Sept,+14.8% YTD. ⭐️:#AZN+9.7%,#VLE+6.7%,#WYN+4.7%,🇺🇸: $INMD+24%;🐶:#MONY-12%,#BLV-8.8%,#SLP-6.4%. Trades: Top-Ups on Mkt falls: $NKE, $CLX, $CAT, $AAPL. Cash : c.10%. Great sporting w/e - enjoy!🥃🍷⚽️UTO!🦉⛳️🥋",sloan_phil,2021-09-25,16:57:09,13,despite volatility p f ended flat wk still -1 1 sept 14 8 ytd inmd 24 trades top-ups mkt falls nke clx aapl cash 10 great sporting w - enjoy uto
344,"If you’re a tech reviewer that’s one thing.  But if you’re a regular iPhone/smartphone user, happily smartphone-ing along with a 60Hz screen for years, suddenly seeing 120Hz, the sensation of speed is really something else. Even if “A15 isn’t much faster”. More on this later.",aapltree,2021-09-25,16:56:33,11,tech reviewer thing regular iphone smartphone user happily smartphone-ing along 60hz screen years suddenly seeing 120hz sensation speed really something else even a15 much faster later
423,新しいiphoneが出た今だからこそ言いたい。 「iphone買わずにAAPL買え」 その方が生産的です🤣 (異論は認めます),indexpino,2021-09-25,13:59:17,18,iphone iphoneaapl
