,Unnamed: 0,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet
0,0,DontFeedBear,"If you survived Q1 with a growth/tech portfolio…you can survive this. Don’t freak out. 

$QQQ $SPY $MSFT $AAPL $AMD $NVDA $PLTR $DKNG $FUBO $U $NET $TWLO $QS $PLUG $ARKK $BLNK $TTD $ZEN $PYPL https://t.co/ZkSCaHROLk",2021-09-29 16:32:46+00:00,10236,16,26,220,survive q1 growth tech portfolio survive freak qqq spy msft aapl amd nvda pltr dkng fubo u net twlo q plug arkk blnk ttd zen pypl
1,1,TickerSymbolYOU,"🔥 BREAKING: @CathieDWood sold 9.8% of @ARKInvest's $TSLA shares yesterday; a sale of 393,000 shares or $362M.

Although the single largest sale of @Tesla's stock I've seen from #arkinvest, it's still the top position (and over 10% by weight) in $ARKK, $ARKW, and $ARKQ.",2021-09-29 11:05:41+00:00,4037,36,15,208,break sell tsla share yesterday sale share 362m although single large sale stock see still top position weight arkk arkw arkq
2,2,INArteCarloDoss,"Things are definitely accelerating for $ARKK , down big YTD, many names deeply under-water, Cathie’s macro paradigm proven blatantly wrong. How bad can it get? Here is everything you need to raid the lost $ARKK https://t.co/7Sbd99IyMl",2021-09-29 09:51:57+00:00,74464,39,33,471,thing definitely accelerate arkk big ytd many name deeply water cathie macro paradigm prove blatantly wrong bad get everything need raid lose arkk
3,3,Investingcom,"*CATHIE WOOD'S ARK FUND NOW DOWN 10% FOR THE YEAR AFTER TECH ROUT

$ARKK https://t.co/HvSBuHsEQj",2021-09-29 03:58:44+00:00,599392,30,44,255,cathie wood fund year tech rout arkk
4,4,saxena_puru,"$ARKK - Price has breached July and August lows -

The primary and short-term trends are down for now. https://t.co/eTxkWsRHrC",2021-09-29 01:33:25+00:00,221705,33,35,367,arkk price breach july august low primary short term trend
5,5,DougKass,"Bitcoin has no intrinsic value.
Tesla ($TSLA) has no auto-based profits.
Zoom ($ZM) and Peloton ($PTON) have no physical plant.
Precious metals have no friends.
Ark Invest ($ARKK) may soon have less liquidity.
Congress and The Fed have no discipline.",2021-09-28 09:50:13+00:00,108147,23,43,330,bitcoin intrinsic value tesla tsla auto base profit zoom zm peloton pton physical plant precious metal friend invest arkk may soon le liquidity congress feed discipline
9,9,TeslaAndBitcoin,"I am thinking of selling ALL my #Bitcoin and $ARKK and just buy $TSLA. If I do that, should this account still be “Tesla and Bitcoin”?",2021-09-13 06:44:38+00:00,5109,93,10,322,think sell arkk buy tsla account still tesla bitcoin
10,10,1478397vw,"What people don't realize is that once 4680 cell is scaled up, everything grows from there. Powerwall, Solar, Megapack, Semi, Tesla ""Q"", Cybertruck. Growth will explode! 3000$ ARKK price target is easily obtainable",2021-09-10 15:03:45+00:00,1455,13,17,293,people realize cell scale everything grow powerwall solar megapack semi tesla q cybertruck growth explode arkk price target easily obtainable
11,11,Trendspider_J,"Came up with my list of “requested charts” over the weekend :)

Posting these later:
$NIO
$PYPL
$APPS
$DKNG
$PENN
$BBIG
$WISH
$AMZN
$ROKU
$ARKK
$AMC
$GME
$SLV
$NFLX
$MRNA",2021-09-06 20:14:44+00:00,111347,35,9,375,come list request chart weekend post late nio pypl apps dkng penn bbig wish amzn roku arkk amc gme slv nflx mrna
12,12,FrankYanWang,"My portfolio YTD is 8% beaten by 20.75% from S&amp;P500. Largely because my top 4 positions are not doing well. $TSLA, $ZM, $TDOC, $ARKK. But when zoom out a little bit. My 1,2,3 years (46%,245%,301%) performance are better than S&amp;P500. I am expecting to beat market in next 5-10 yrs. https://t.co/BkwpWjnXt0",2021-09-05 00:08:29+00:00,3380,26,24,273,portfolio ytd beat amp p500 largely top position well tsla zm tdoc arkk zoom little bite year performance good amp p500 expect beat market next yr
13,13,BullishRippers,"How the top 10 holdings in the Ark Invest Innovation ETF $ARKK have performed so far in 2021

Tesla $TSLA +4%
Teladoc $TDOC -28%
$ROKU +3%
Coinbase $COIN +11% (Went public in April)
Unity $U -13%
Zoom $ZM -12%
Shopify $SHOP +37%
Square $SQ +24%
Spotify $SPOT -21%
Twilio $TWLO +8%",2021-09-04 17:18:44+00:00,5634,14,45,243,top hold invest innovation etf arkk perform far tesla tsla teladoc tdoc roku coinbase coin go public april unity u zoom zm shopify shop square sq spotify spot twilio twlo
14,14,RaoulGMI,@RealVision Love this! I'll take the new inverse ARKK ETF...,2021-08-31 15:56:59+00:00,672232,36,13,333,love take new inverse arkk etf
15,15,GerberKawasaki,"Let’s be real. Dream team of active management for long term investors. My friend @garyblack00 just launched his Future Fund. You put $ARKK $GK and $FFND in a portfolio. Me, Cathie and Gary. Love it. #tesla $tsla",2021-08-30 15:35:58+00:00,175345,51,32,790,let real dream team active management long term investor friend launch future fund put arkk gk ffnd portfolio cathie gary love tsla
16,16,alsabban1982,"مايكل بيري الطبيب المستثمر المعروف الذي توقع ازمة العقار ب٢٠٠٨ متشائم جدا حيال سوق الاسهم ويرى ان الفوضى قادمةو الانهيار الكبير قادم خصوصا باسهم التكنولوجيا العملاقة تيسلا صناديق الاستثمار الجريئة مثل $ARKK

 البديل بنظره؟
الاستثمار في ؟الاصول الحقيقية Real Assets و؟الماء
لم افهم https://t.co/fCZ0o73cEb",2021-08-29 07:01:27+00:00,134773,15,16,253,مايكل بيري الطبيب المستثمر المعروف الذي توقع ازمة العقار ب٢٠٠٨ متشائم جدا حيال سوق الاسهم ويرى ان الفوضى قادمةو الانهيار الكبير قادم خصوصا باسهم التكنولوجيا العملاقة تيسلا صناديق الاستثمار الجريئة مثل arkk البديل بنظره الاستثمار في الاصول الحقيقية real asset و الماء لم افهم
17,17,MFHoz,"$ARKK has been melting up since Burry started betting against them. Big banks hate Burry after he foresaw and profited from the subprime mortgage crisis back in 2008. If you notice, everytime his short position is announced in something, it melts up.",2021-08-24 19:35:23+00:00,33785,41,21,289,arkk melt since burry start bet big bank hate burry foresee profit subprime mortgage crisis back notice everytime short position announce something melt
19,19,DrHippocratesMD,"@charliebilello A lot of your subscribers are intelligent enough to realize that cherry picking data to support a narrative can be done in multiple ways to prove multiple outcomes. 

Since March 20, 2021

ARKK +240%
SPY +100%",2021-08-22 19:58:29+00:00,201,17,9,555,lot subscriber intelligent enough realize cherry pick data support narrative do multiple way prove multiple outcome since march arkk spy
20,20,WOLF_Financial,"Which portfolio are you holding for 3 years?

A.
$TLA Tesla
$PLTR Palantir
$VOO
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidia
$VTI
$ETH Ethereum

C.
$GOOG Google
$UPST Upstart
$ARKK 
$DOGE Dogecoin

D.
$AAPL Apple
$FB Facebook
$QQQ
$ADA - Cardano

👇",2021-08-21 15:03:24+00:00,25339,615,118,763,portfolio hold year tla tesla pltr palantir voo btc bitcoin b se sea ltd nvda nvidia vti eth ethereum c goog google upst upstart arkk doge dogecoin aapl apple fb facebook qqq ada cardano
21,21,TeslaAndBitcoin,I am probably gonna sell all my $ARKK and buy $TSLA. Going all-in.,2021-08-21 06:26:45+00:00,5110,43,23,526,probably gonna sell arkk buy tsla go
22,22,saxena_puru,"$ARKK - Trend check 

Short-term + primary trends are currently DOWN https://t.co/9bjkJY3QOu",2021-08-19 21:48:04+00:00,221705,27,8,217,arkk trend check short term primary trend currently
23,23,BobPisani,"$ARKK Cathie Wood: ""EV [electric vehicle] prices will drop below gasoline power car prices in a year or two."" Bold call, even for a $TSLA bull. 
@CNBC",2021-08-19 15:44:33+00:00,97298,145,112,1302,arkk cathie wood ev electric vehicle price drop gasoline power car price year two bold call even tsla bull
24,24,garyblack00,"@ChrisBloomstran is trying to evaluate the $ARKK growth portfolio using trailing value metrics. In his long-winded tweet, Chris makes no attempt to forecast earnings, free cash flow or future value - the very essence of fundamental analysis - and then discount them back. $tsla https://t.co/db5QW5s5FX",2021-08-18 09:56:19+00:00,85534,16,17,221,try evaluate arkk growth portfolio use trail value metric long wind tweet chris make attempt forecast earn free cash flow future value essence fundamental analysis discount back tsla
