Unnamed: 0,Unnamed: 0.1,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,flair_sentiment,flair_sentiment_score,vader_sentiment,vader_score,finbert_sentiment,finbert_score
0,0,PythiaR,"Q3 2021 Portfolio Update: 

$GFL $TDG $LBRDK $GOOGL $CSU.TO $MSFT $INFO $FB $MTCH $PVF.UN $ADSK $IAC $AMZN $MA $LVMUY $IBP $CHE $RICK $RADI $CGNX $HEI $TSMC

Q2 Return ($CAD): 3.13% (SPX 2.74%)
YTD: ($CAD): 16.46% (SPX 15.11%)
LTM: ($CAD): 37.24% (SPX 26.2%) https://t.co/ikYkCaIDQb",2021-09-30 20:24:39+00:00,29381,29,7,224,q3 portfolio update gfl tdg lbrdk csu msft info fb mtch pvf un adsk iac amzn lvmuy ibp che rick radi cgnx hei tsmc q2 return cad spx ytd cad spx ltm cad spx,NEGATIVE,0.8165,neg,0.0,neutral,0.9283051490783691
1,1,garyblack00,"At $775, $TSLA now trades at 79x our 2022 Adj EPS est of $9.80, vs 2022-2026 Adj EPS growth of 54% = 1.5x PEG. Only large cap growth stocks in our universe that look cheaper are $FB (1.2x PEG) and $GOOGL (1.3x PEG). R1000 Growth trades at 2.3x 2022 PEG; S&amp;P 500 now 2.8x 2022 PEG. https://t.co/dBtGvwu5tA",2021-09-29 17:16:17+00:00,85536,21,54,505,tsla trade 79x adj eps est v adj eps growth 5x peg large cap growth stock universe look cheap fb 2x peg 3x peg r1000 growth trade 3x peg amp p 8x peg,NEGATIVE,0.9983,neg,0.0,neutral,0.8296012282371521
2,2,carlquintanilla,"* YOUTUBE IS BANNING PROMINENT ANTI-VACCINE ACTIVISTS AND BLOCKING ALL ANTI-VACCINE CONTENT -WASHINGTON POST

@Reuters $GOOGL",2021-09-29 13:16:58+00:00,316039,97,87,855,youtube ban prominent anti vaccine activist block anti vaccine content washington post,NEGATIVE,0.9979,neg,0.0,neutral,0.7931402325630188
3,3,Crypto_BitC,"$LINK + $GOOGL = Dump 

Will be hilarious to look back on but still confusing to live through 🤷‍♂️",2021-09-29 05:39:09+00:00,18967,15,18,240,link dump hilarious look back still confuse live,NEGATIVE,0.9716,neg,0.0,negative,0.5297460556030273
4,4,PythiaR,"Some quick #'s, on cons. est +/- some Pythia tweaks: 
$MSFT: 5 year FCF CAGR: 16%, exit FCF yield @ 4%, IRR: 12%
$GOOGL: 17% CAGR, exit @ 4.5%, IRR: 17%
$FB: 19% CAGR, exit @ 5%, IRR: 16%
$AMZN: 40% CAGR, exit at 4.5%, IRR: 14% 

Take 1-2% away for SBC dilution, but ballpark.",2021-09-28 21:58:42+00:00,29352,24,18,283,quick con est pythia tweak msft year fcf cagr exit fcf yield irr cagr exit irr fb cagr exit irr amzn cagr exit irr take away sbc dilution ballpark,NEGATIVE,0.6589,neg,0.0,neutral,0.8343993425369263
5,5,JesseCohenInv,$AAPL $MSFT $AMZN $GOOGL $FB $TSLA https://t.co/xPwW2jHw1B,2021-09-28 20:40:27+00:00,33303,29,99,458,aapl msft amzn fb tsla,NEGATIVE,0.6984,neg,0.0,neutral,0.9237759709358215
6,6,DeItaone,"GOOGLE IS SLASHING THE AMOUNT IT KEEPS FROM SALES ON ITS CLOUD MARKETPLACE- CNBC

GOOGLE CLOUD PLATFORM IS CUTTING ITS PERCENTAGE REVENUE SHARE TO 3% FROM 20%- CNBC
$GOOGL",2021-09-26 13:03:09+00:00,382922,24,96,502,slash amount keep sale cloud marketplace cnbc cloud platform cut percentage revenue share cnbc,NEGATIVE,0.8885,neg,0.0,neutral,0.4955090880393982
7,7,tradingview,"Market caps

1. Apple $AAPL $2.4T
2. Microsoft $MSFT $2.2T
3. Google $GOOGL $1.8T
4. Amazon $AMZN $1.7T
5. Facebook $FB $967B
6. #Bitcoin $820B
7. Tesla $TSLA $744B
8. Berkshire Hathaway $BRK $618B
9. Tencent $550B
10. Nvidia $NVDA $546B
11. Visa $V $473B
12. JPMorgan $JPM $465B",2021-09-22 23:12:02+00:00,320615,25,90,314,market cap apple aapl 4t microsoft msft 2t 8t amazon amzn 7t facebook fb 967b 820b tesla tsla 744b berkshire hathaway brk 618b tencent 550b nvidia nvda 546b visa v 473b jpmorgan jpm 465b,POSITIVE,0.978,neg,0.0,neutral,0.9259811639785767
8,8,Investingcom,"*GOOGLE IS BUYING A MANHATTAN OFFICE BUILDING FOR $2.1 BILLION

$GOOGL https://t.co/Xt3xztzU9Q",2021-09-21 12:15:58+00:00,599455,13,42,218,buy manhattan office build billion,NEGATIVE,0.518,neg,0.0,neutral,0.9388629198074341
9,9,DeItaone,"*Google Is Buying a Manhattan Office Building for $2.1 Billion, Company Says
$GOOGL",2021-09-21 12:00:18+00:00,382924,24,36,236,buy manhattan office build billion company say,POSITIVE,0.5644,neg,0.0,neutral,0.9420074224472046
