Unnamed: 0,Unnamed: 0.1,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,vader_sentiment,vader_score
0,0,glockied,"Options Trade Ideas

$SPY 448c &gt; 437.04 | 433p &lt; 433.84
$ORCL 93c &gt; 92.08 | 90p &lt; 91
$MSFT 287.5c &gt; 286.78 | 283p &lt; 283.01
$SBUX 113c &gt; 112.51 | 111p &lt; 111.57

Good Luck — Scale Profits.

99 Likes for 4 more picks!🌐",2021-09-29 22:09:08+00:00,21150,11,13,246,option trade idea spy 448c gt 433p lt orcl 93c gt 90p lt 5c gt 283p lt sbux 113c gt 111p lt good luck scale profit like pick,neu,0.9493
1,1,DontFeedBear,"If you survived Q1 with a growth/tech portfolio…you can survive this. Don’t freak out. 

$QQQ $SPY $MSFT $AAPL $AMD $NVDA $PLTR $DKNG $FUBO $U $NET $TWLO $QS $PLUG $ARKK $BLNK $TTD $ZEN $PYPL https://t.co/ZkSCaHROLk",2021-09-29 16:32:46+00:00,10235,16,26,220,survive q1 growth tech portfolio survive freak qqq spy aapl amd nvda pltr dkng fubo u net twlo q plug arkk blnk ttd zen pypl,neu,-0.0772
2,2,AznWeng,"$MSFT is quickly gaining market share vs. $PATH. The # of job openings mentioning MSFT’s Power Automate RPA tool has been growing much faster than everyone in the RPA space. $PATH remains #1, but MSFT could be an emerging threat. https://t.co/0Ul9LLQbNn",2021-09-29 13:35:46+00:00,11770,8,36,240,quickly gain market share v path job open mention power automate rpa tool grow much fast everyone rpa space path remain could emerge threat,neu,0.296
3,3,PythiaR,"Some quick #'s, on cons. est +/- some Pythia tweaks: 
$MSFT: 5 year FCF CAGR: 16%, exit FCF yield @ 4%, IRR: 12%
$GOOGL: 17% CAGR, exit @ 4.5%, IRR: 17%
$FB: 19% CAGR, exit @ 5%, IRR: 16%
$AMZN: 40% CAGR, exit at 4.5%, IRR: 14% 

Take 1-2% away for SBC dilution, but ballpark.",2021-09-28 21:58:42+00:00,29352,24,18,283,quick con est pythia tweak year fcf cagr exit fcf yield irr googl cagr exit irr fb cagr exit irr amzn cagr exit irr take away sbc dilution ballpark,neu,0.0
4,4,JesseCohenInv,$AAPL $MSFT $AMZN $GOOGL $FB $TSLA https://t.co/xPwW2jHw1B,2021-09-28 20:40:27+00:00,33303,29,99,458,aapl amzn googl fb tsla,neu,0.0
5,5,tradingview,"$SPY -1.92%
$QQQ -2.65%
$AAPL -2.35%
$MSFT -2.9%
$AMZN -2.9%
$NVDA -4.2%
$FB -3.7%
$PYPL -3.8%

It's that kind of day. https://t.co/l2jbviRVOr",2021-09-28 17:56:03+00:00,320614,34,69,342,spy qqq aapl amzn nvda fb pypl kind day,neu,0.5267
6,6,DividendGrowth,"World’s largest dividend payers in 2020

Microsoft $MSFT $16.52 billion
AT&amp;T $T $14.96 billion
ExxonMobil $XOM $14.87 billion
Apple $AAPL $14.08 billion
China Construction Bk $13.2 billion
JP Morgan $JPM $12.69 billion
Johnson&amp;Johnson $JNJ 10.48 billion
Verizon $VZ 10.23 billion",2021-09-27 20:55:00+00:00,81887,15,50,404,world large dividend payer billion amp billion exxonmobil xom billion apple aapl billion china construction bk billion jp morgan jpm billion johnson amp johnson jnj billion verizon vz billion,neu,0.2023
7,7,Dennis_Porter_,"1980: Buy &amp; HODL $AAPL
1986: Buy &amp; HODL $MSFT
1997: Buy &amp; HODL $AMZN
2002: Buy &amp; HODL $NFLX
2010: Buy &amp; HODL $TSLA
2012: Buy &amp; HODL $FB

2021: SELL ALL BUY &amp; HODL #BTC",2021-09-27 16:29:42+00:00,21649,26,71,542,buy amp hodl aapl buy amp hodl buy amp hodl amzn buy amp hodl nflx buy amp hodl tsla buy amp hodl fb sell buy amp hodl,neu,0.0
8,8,Dividend_Dollar,"10 Buy and Never Sell Stocks

💊 $JNJ
🛠️ $HD
☕️ $SBUX
📦 $AMZN
🍎 $AAPL
🐭 $DIS
🏬 $O
🛒 $COST
🖥️ $MSFT
🚀 $RTX",2021-09-27 15:15:00+00:00,29590,39,116,676,buy never sell stock jnj hd sbux amzn aapl dis cost rtx,neu,0.0
9,9,TomGardnerFool,"Microsoft (MSFT)

Buy? Don’t buy? Why?

$168 billlion sales
$116 billion gross profit
69% gross margins
$80 billion cash
10%yr/est growth
$2.25 trillion mkt cap
0.83% dividend
13X sales
19X gross profits
$12M mktcap/employee
4.3/5 ratings on G2
CEO owns 0.02% ($470 million)",2021-09-26 17:48:25+00:00,52053,70,25,293,buy buy billlion sale billion gross profit gross margin billion cash yr est growth trillion mkt cap dividend 13x sale 19x gross profit 12m mktcap employee rat g2 ceo own million,neu,-0.2263
