,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
0,glockied,"Options Trade Ideas

$SPY 448c &gt; 437.04 | 433p &lt; 433.84
$ORCL 93c &gt; 92.08 | 90p &lt; 91
$MSFT 287.5c &gt; 286.78 | 283p &lt; 283.01
$SBUX 113c &gt; 112.51 | 111p &lt; 111.57

Good Luck — Scale Profits.

99 Likes for 4 more picks!🌐",2021-09-29 22:09:08+00:00,21150,11,13,246
1,DontFeedBear,"If you survived Q1 with a growth/tech portfolio…you can survive this. Don’t freak out. 

$QQQ $SPY $MSFT $AAPL $AMD $NVDA $PLTR $DKNG $FUBO $U $NET $TWLO $QS $PLUG $ARKK $BLNK $TTD $ZEN $PYPL https://t.co/ZkSCaHROLk",2021-09-29 16:32:46+00:00,10235,16,26,220
2,AznWeng,"$MSFT is quickly gaining market share vs. $PATH. The # of job openings mentioning MSFT’s Power Automate RPA tool has been growing much faster than everyone in the RPA space. $PATH remains #1, but MSFT could be an emerging threat. https://t.co/0Ul9LLQbNn",2021-09-29 13:35:46+00:00,11770,8,36,240
3,PythiaR,"Some quick #'s, on cons. est +/- some Pythia tweaks: 
$MSFT: 5 year FCF CAGR: 16%, exit FCF yield @ 4%, IRR: 12%
$GOOGL: 17% CAGR, exit @ 4.5%, IRR: 17%
$FB: 19% CAGR, exit @ 5%, IRR: 16%
$AMZN: 40% CAGR, exit at 4.5%, IRR: 14% 

Take 1-2% away for SBC dilution, but ballpark.",2021-09-28 21:58:42+00:00,29352,24,18,283
4,JesseCohenInv,$AAPL $MSFT $AMZN $GOOGL $FB $TSLA https://t.co/xPwW2jHw1B,2021-09-28 20:40:27+00:00,33303,29,99,458
5,tradingview,"$SPY -1.92%
$QQQ -2.65%
$AAPL -2.35%
$MSFT -2.9%
$AMZN -2.9%
$NVDA -4.2%
$FB -3.7%
$PYPL -3.8%

It's that kind of day. https://t.co/l2jbviRVOr",2021-09-28 17:56:03+00:00,320614,34,69,342
6,DividendGrowth,"World’s largest dividend payers in 2020

Microsoft $MSFT $16.52 billion
AT&amp;T $T $14.96 billion
ExxonMobil $XOM $14.87 billion
Apple $AAPL $14.08 billion
China Construction Bk $13.2 billion
JP Morgan $JPM $12.69 billion
Johnson&amp;Johnson $JNJ 10.48 billion
Verizon $VZ 10.23 billion",2021-09-27 20:55:00+00:00,81887,15,50,404
7,Dennis_Porter_,"1980: Buy &amp; HODL $AAPL
1986: Buy &amp; HODL $MSFT
1997: Buy &amp; HODL $AMZN
2002: Buy &amp; HODL $NFLX
2010: Buy &amp; HODL $TSLA
2012: Buy &amp; HODL $FB

2021: SELL ALL BUY &amp; HODL #BTC",2021-09-27 16:29:42+00:00,21649,26,71,542
8,Dividend_Dollar,"10 Buy and Never Sell Stocks

💊 $JNJ
🛠️ $HD
☕️ $SBUX
📦 $AMZN
🍎 $AAPL
🐭 $DIS
🏬 $O
🛒 $COST
🖥️ $MSFT
🚀 $RTX",2021-09-27 15:15:00+00:00,29590,39,116,676
9,TomGardnerFool,"Microsoft (MSFT)

Buy? Don’t buy? Why?

$168 billlion sales
$116 billion gross profit
69% gross margins
$80 billion cash
10%yr/est growth
$2.25 trillion mkt cap
0.83% dividend
13X sales
19X gross profits
$12M mktcap/employee
4.3/5 ratings on G2
CEO owns 0.02% ($470 million)",2021-09-26 17:48:25+00:00,52053,70,25,293
10,SixSigmaCapital,"FAANGS Peak Revenue multiple trades at during their respective ascendancies:
 
$MSFT peak was 25x, 
$AMZN 31x, 
$GOOG 8x, 
$FB 17x

Are SaaS stocks trading at 50/60/70x really the next FAANGM’s 

Sobering thought",2021-09-24 14:34:13+00:00,7461,46,28,335
11,cburniske,"In the tech &amp; telecom crash, you could have picked up $AMZN, $MSFT, $AAPL, $NFLX all at extremely attractive prices. 

Whenever #crypto goes through its next crash, similarly you'll be able to pick up key Web3 infrastructure at attractive prices for a multi-decadal hodl.",2021-09-24 14:25:40+00:00,190635,21,40,295
12,COValueInv,"This might be a controversial take, but $MSFT Teams actually isn't as terrible any more. If you're in IT infrastructure, how do you justify a separate spend on $ZM and Slack?",2021-09-23 18:03:25+00:00,891,42,8,293
13,tradingview,"Market caps

1. Apple $AAPL $2.4T
2. Microsoft $MSFT $2.2T
3. Google $GOOGL $1.8T
4. Amazon $AMZN $1.7T
5. Facebook $FB $967B
6. #Bitcoin $820B
7. Tesla $TSLA $744B
8. Berkshire Hathaway $BRK $618B
9. Tencent $550B
10. Nvidia $NVDA $546B
11. Visa $V $473B
12. JPMorgan $JPM $465B",2021-09-22 23:12:02+00:00,320615,25,90,314
14,dividendhike,"The biggest US dividend payers at this moment:

1. Microsoft $18.6 billion $MSFT
2. AT&amp;T $14.9 billion $T
3. ExxonMobil $14.7 billion $XOM
4. Apple $14.5 billion $AAPL
5. Johnson &amp; Johnson $11.2 billion $JNJ

$JPM $VZ and $CVX also pay more than $10B in dividend annually.",2021-09-22 07:26:11+00:00,17274,3,50,241
15,gannonbreslin,"5 stocks that I wish there was a significant dip in that I could buy more:

1. $SE
2. $MSFT
3. $ASML
4. $NVDA
5. $SQ

Thoughts?",2021-09-21 14:45:43+00:00,27282,58,13,228
16,RamBhupatiraju,"My Google Finance screenshot from 10 yrs ago (Aug 2011).

Look where the indices and stocks shown were trading back then vs now. (Compare Mktcaps, not prices as many of them had splits over the yrs).

$AAPL $ADBE $AMZN $CMG $GOOG $ISRG $LULU $MA $MELI $MSFT $NFLX $NVDA $V https://t.co/PCOizQfmSh",2021-09-21 14:06:34+00:00,40192,15,37,337
17,Dividend_Dollar,"All 3 of these portfolios pay MONTHLY dividends

Here is what $15K invested evenly in each portfolio would pay in dividends

Portfolio #1 = $590 in Dividends
$PM
$ABBV
$MCD

Portfolio #2 = $583 in Dividends
$MO
$SBUX
$AVGO

Portfolio #3 = $201 in Dividends
$CSCO
$AAPL
$MSFT",2021-09-21 13:25:00+00:00,29590,20,48,237
18,Dividend_Dollar,"💰 10 Top Dividend Stocks

☕️ $SBUX
🚬 $MO
⚒️ $HD
💳 $V
🛒 $WMT
📱 $AAPL
🏨 $O
💊 $JNJ
💉 $ABBV
🖥️ $MSFT",2021-09-20 13:35:00+00:00,29590,17,60,355
19,vincent13031925,"The last 10 Years’ return:

$BTC: +994,608%
$TSLA: +15,200%
$NVDA: +6,053%
$NFLX: +2,337%
$AMZN: +1,427%
$MSFT: +1,280%
$AAPL: +1,112%
$GOOGL: +937%
$SPY: +344%
$GLD: -6%",2021-09-20 00:44:19+00:00,123661,61,125,1004
20,momoblog0214,"調整局面で買いたい銘柄を、
54銘柄も教えて頂きました😊

多かった順では、
第1位 $CRWD
第2位 $NVDA
第3位 $SE  せ！せ！せ！
第4位 $MSFT
第5位 $ASML

ほぼ間違いない優良銘柄✨
バリュエーション高め😣
調整で、安く買いたいですね😊

現在のバリュエーションをメモしておきました👍 https://t.co/8qrh5wCGX2",2021-09-19 23:17:19+00:00,17702,1,35,342
21,GaaOptions,"Weekly Public Watchlist:

$TSLA over 763, 770c
$U over 140, 145c
$SNOW over 326, 330c
$BA over 217, 220c | below 208, 205p
$AAPL below 144, 143p
$MSFT below 296.8, 295p

You know the deal:
250 ❤️ unlocks 15 bonus picks with chart analysis!",2021-09-19 22:08:30+00:00,22987,2,27,532
22,charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Microsoft $MSFT: +1,280%
Apple $AAPL: +1,112%
Google $GOOGL: +937%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%
Next 10?",2021-09-19 13:33:48+00:00,311986,731,2955,12089
23,ChartingTrends,"If you take away $GOOG, $MSFT and $AAPL, stocks have gone absolutely nowhere since February. https://t.co/b5mgKXUDDm",2021-09-19 07:29:49+00:00,13259,22,50,341
24,hiyono_leverage,"ひよレバ100は9/21に終了しますが、ひよのγに生まれ変わります！

ひよのγとはGOOG、AAPL、AMZN、NVDA、MSFT、ASMLの頭文字を取った造語(GAANMA)です✨

そして、みみるちゃん(@mimiru_usstock)が毎日ひよのγの騰落率をラボにまとめてくれます💕

ひよのγ✕みみるラボ、9/22スタートです！お楽しみに🎵 https://t.co/M38zainokl",2021-09-19 05:39:19+00:00,22524,60,10,512
25,BullishRippers,"Net Income generated per Day last quarter

Berkshire $BRK.B: $309M
Apple $AAPL: $239M
Google $GOOGL: $204M
Microsoft $MSFT: $181M
JPMorgan $JPM: $126M
Facebook $FB: $114M
Bank of America $BAC: $98.5M
Amazon $AMZN: $85.5M
Alibaba $BABA: $76.8M
Johnson &amp; Johnson $JNJ: $69M",2021-09-18 17:54:34+00:00,5637,10,51,312
26,cinnamon_msft,"PowerToys is in the Microsoft Store!!! 🥳🥳🥳

Congrats to @ClintRutkas and the team! 🤗 https://t.co/fxOSzrigTc",2021-09-17 17:27:48+00:00,17930,6,20,238
27,BullishRippers,"Revenue generated per Day last quarter

Walmart $WMT: $1.54B
Amazon $AMZN: $1.24B
Apple $AAPL: $895M
Berkshire $BRK.B $759M
Google $GOOGL: $680M
Microsoft $MSFT: $507M
Alibaba $BABA: $349M
$JPM: $335M
Facebook $FB: $320M
Ford $F: $265M
Disney $DIS: $187M
Tesla $TSLA: $131M",2021-09-17 14:39:21+00:00,5637,9,46,274
28,jicchamatome,👴特別なスキルを習得せずとも投資成果を出すことは不可能ではない。 $VTI を買う。それじゃ味気ないなら、高配当株式 $VYM にも分散、分散投資の気分を味わうことが出来る。(個別株投資したい)というのであれば $GOOG $FB $AAPL $AMZN $MSFT から数銘柄分散、同時に買い建てることをおすすめします。,2021-09-17 02:52:00+00:00,107004,3,30,623
29,charliebilello,"Last 7 months...

Facebook $FB: +38%
Google $GOOGL: +38%
Microsoft $MSFT: +25%
Nasdaq 100 $QQQ: +13%
Apple $AAPL: +10%
Amazon $AMZN: +6%
-
JD $JD: -23%
Alibaba $BABA: -41%
Tencent $TCEHY: -41%
Meituan $MPNGF: -48%
Baidu $BIDU: -48%
China Internet $KWEB: -53%",2021-09-16 11:43:23+00:00,311986,36,162,507
30,qcapital2020,"This was super fun to research. 

Here's a list of 10 Stocks I found with no negative yearly performance (excluding dividends) in 10 yrs+

A.K.A. Compounding Machine 💰

Let's begin!

$MSFT Microsoft https://t.co/tc6oMEsaax",2021-09-15 21:44:12+00:00,12270,21,58,308
31,zerohedge,Perpetual engine: MSFT announces $60BN buyback last night; its market cap is already up by 60% of this amount.,2021-09-15 19:05:50+00:00,1102367,11,46,258
32,cadeinvests,"10 of my favorite stocks to hold for the next 10 years.

$V          -  Visa
$SQ       - Square
$DIS      - Disney
$AAPL   - Apple
$GOOG - Google
$AMZN - Amazon
$MSFT  - Microsoft 
$HD       - Home Depot
$JNJ       - Johnson &amp; Johnson
$WM      - Waste Management",2021-09-15 16:19:14+00:00,10106,70,146,1054
33,congresstrading,WA Congresswoman DelBene pumps up to $25 million into $MSFT today. Her office is 5 miles from Microsoft HQ. You can expect pro-Microsoft legislation. https://t.co/wgj8W1vO0e,2021-09-15 13:43:10+00:00,16641,15,72,288
34,zerohedge,Can MSFT single-handedly prop up the entire market? Let's find out,2021-09-15 13:37:01+00:00,1102368,19,28,298
35,DeItaone,"MICROSOFT SHARES UP 1.2% PREMARKET AFTER CO ANNOUNCES $60 BLN SHARE BUYBACK, RAISES QUARTERLY DIVIDEND
$MSFT",2021-09-15 09:36:57+00:00,382928,6,32,249
36,NorthmanTrader,$MSFT launches its own QE program. https://t.co/4Z51016tgQ,2021-09-15 09:04:54+00:00,305828,14,29,329
37,dividendhike,#Microsoft hikes dividend by 10.7 percent. $MSFT,2021-09-15 05:41:51+00:00,17275,8,57,369
38,Investingcom,"*MICROSOFT ANNOUNCES RECORD $60B SHARE BUYBACK PLAN

$MSFT",2021-09-15 04:37:00+00:00,599457,18,90,593
39,MarketRebels,"$MSFT announces $60 billion share buyback, says they are raising dividend from $0.56 to $0.62",2021-09-15 00:59:34+00:00,130793,28,79,669
