,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
0,cadeinvests,"Vanguard funds with the highest annual returns the last 10 years.

1. $VGT Information Tech: 20%
2. $VCR Consumer Disc: 18%
3. $MGK Large Cap Growth: 17%
4. $VONG Russell 1000 Growth: 16%
5. $VUG S&amp;P 500 Growth: 16%

Leaders of the pack.",2021-07-01 12:43:02+00:00,9943,11,33,243
1,heyitspixel69,The Russell 1000 is literally GME's stairway to heaven https://t.co/F5lgnHFE6z,2021-06-30 10:28:26+00:00,42535,29,47,933
2,CringleKitten,"(Part 3) What does that mean? IMO - It could be an excellent corporate move as they probably know where the money is going.

With the Russell 1000, it's going to print for them.",2021-06-29 22:22:02+00:00,30658,5,19,215
3,CringleKitten,"(Part 1) Food for thought

Speculation in the market presenting Blackrock allegedly selling their Dow Jones ETFs so they could reinvest into Russell 1000.",2021-06-29 22:22:01+00:00,30658,2,44,288
4,heyitspixel69,"T+21 automatic lock-ins taking place? Failed to meet margin Call and short positions being closed automatically? Russell 1000 buy-ins? I don't know, but I like.",2021-06-28 13:49:41+00:00,42535,32,43,1212
5,matt_kohrs,"Just posted two videos on the YT channel:
1) #AMC F9 update -- They crushed it
2) #GME is now in the Russell 1000 -- Options Activity

Excited to battle the Market with all of you Apes this week! To The Moon!!!",2021-06-27 22:03:19+00:00,150429,52,251,2283
6,rockstar_stocks,"$gme been added to the Russell 1000. Great job everyone! :)

$amc #amc #gme #GameStop https://t.co/o275AHPwpV",2021-06-26 02:05:01+00:00,40752,20,85,787
7,spectatorindex,BUSINESS: GameStop to be added to the Russell 1000 index,2021-06-25 23:09:43+00:00,1888309,23,117,969
8,ThatNeighborBoy,"Congratulations to @ryancohen and @gamestopcorp for bringing the company from bankruptcy to the Russell 1000! This is a tremendous accomplishment and unprecedented in the world of finance. I hope you all have an amazing weekend!!!!!! 
#GME $GME https://t.co/as3nlvXtnd",2021-06-25 20:28:29+00:00,2042,13,19,297
9,TOFIQFAZL,"$GME last minutes move from $200 to $210 due to Russell 1000 rebalancing nice pop .
#wallstreetbets , #GME , #AMC",2021-06-25 19:59:42+00:00,32495,7,27,382
