Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,flair_sentiment,flair_sentiment_score,vader_sentiment,vader_score,finbert_sentiment,finbert_score,ticker
TheMoonCarl,"Returns over the last 10 Years:

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Apple $AAPL: +1,112%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%

@PeterSchiff literally picked the worst performing asset.",2021-09-30 18:01:19+00:00,559219,215,442,2532,return last year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn amp p spy bond agg gold gld literally pick bad perform asset,NEGATIVE,0.9999,neu,-0.0772,neutral,0.820654333,AAPL
BrianFeroldi,"This thread is just a broad overview of the balance sheet

Want specifics &amp; and a helpful example?

We did a deep dive into the balance sheet on my YouTube channel using $AAPL's recent numbers as an example

https://t.co/BTWrUomWe8",2021-09-30 15:30:03+00:00,213150,6,17,215,thread broad overview balance sheet want specific amp helpful example deep dive balance sheet youtube channel use recent number example,POSITIVE,0.7746,neu,0.5267,neutral,0.940474987,AAPL
DecadeInvestor,"In 2020, Tim Cook, CEO of $AAPL, earned $265,000,000 in total compensation.

In 2020, Warren Buffett earned ~$755,079,143 in dividends from $AAPL. 

ZERO hours clocked, ZERO meetings &amp; ZERO headaches caused. 

Invest.",2021-09-30 13:36:10+00:00,33383,21,68,361,tim cook ceo earn total compensation warren buffett earn dividend zero hour clock zero meet amp zero headache cause invest,NEGATIVE,0.9786,neu,0,neutral,0.831749976,AAPL
TheFBAInvestor,"I bought my first $AAPL stock in 2010. 

Since then it has seen a 1,372.29% increase. 

Tell me again... Why don't you invest?",2021-09-30 10:19:31+00:00,14836,22,36,237,buy first stock since see increase tell invest,POSITIVE,0.9617,neu,0.3182,neutral,0.935794175,AAPL
MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $LCID
2. $TSLA
3. $PLTR
4. $WISH
5. $SOFI
6. $QQQ
7. $IRNT
8. $AMZN
9. $AAPL
10. $AMD",2021-09-29 23:24:02+00:00,128553,22,36,224,mention ticker wsb via swaggy stock lcid tsla pltr wish sofi qqq irnt amzn amd,NEGATIVE,0.6766,neu,0.4019,neutral,0.931195855,AAPL
Pharmdca,"My top 10 concentrated 2021 positions in Biotechs 
$PAVM &gt; $PDSB &gt; $LPTX &gt; $MYOV $CMRX &gt; $MREO &gt; $OCUL &gt; $ACHL &gt; $ONCT &gt; $CRVS

My top 5 concentrated positions in Tech

$TNDM &gt; $SE &gt; $TTD &gt; $AAPL &gt; $APPS",2021-09-29 21:57:31+00:00,75933,22,19,229,top concentrate position biotech pavm gt pdsb gt lptx gt myov cmrx gt mreo gt ocul gt achl gt onct gt crvs top concentrate position tech tndm gt se gt ttd gt gt apps,POSITIVE,0.9986,pos,0.9674,neutral,0.84244895,AAPL
Gfilche,"$TSLA will get bigger than $AAPL with 10M cars, at $35K ASP, with 40% ROIC and a 40X multiple 

@freshjiva comes back on HyperChange so we can settle the ""is robotaxi priced into Tesla stock"" debate once and for all @elonmusk
 https://t.co/QlnI5uyuvy",2021-09-29 20:55:04+00:00,59954,68,125,1765,tsla get big 10m car 35k asp roic 40x multiple come back hyperchange settle robotaxi price tesla stock debate,NEGATIVE,0.9949,neu,0,neutral,0.870151639,AAPL
DontFeedBear,"If you survived Q1 with a growth/tech portfolio…you can survive this. Don’t freak out. 

$QQQ $SPY $MSFT $AAPL $AMD $NVDA $PLTR $DKNG $FUBO $U $NET $TWLO $QS $PLUG $ARKK $BLNK $TTD $ZEN $PYPL https://t.co/ZkSCaHROLk",2021-09-29 16:32:46+00:00,10253,16,26,221,survive q1 growth tech portfolio survive freak qqq spy msft amd nvda pltr dkng fubo u net twlo q plug arkk blnk ttd zen pypl,NEGATIVE,0.909,neu,-0.0772,neutral,0.706047118,AAPL
JesseCohenInv,$AAPL $MSFT $AMZN $GOOGL $FB $TSLA https://t.co/xPwW2jHw1B,2021-09-28 20:40:27+00:00,33042,29,100,458,msft amzn googl fb tsla,NEGATIVE,0.6619,neu,0,neutral,0.930049121,AAPL
tradingview,"$SPY -1.92%
$QQQ -2.65%
$AAPL -2.35%
$MSFT -2.9%
$AMZN -2.9%
$NVDA -4.2%
$FB -3.7%
$PYPL -3.8%

It's that kind of day. https://t.co/l2jbviRVOr",2021-09-28 17:56:03+00:00,318062,34,69,344,spy qqq msft amzn nvda fb pypl kind day,NEGATIVE,0.9444,neu,0.5267,neutral,0.912450254,AAPL
