,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
0,LivinRentFree_,"I need 1,000 shares of $AAPL",2021-09-30 23:54:13+00:00,8106,18,52,313
1,TheMoonCarl,"Returns over the last 10 Years:

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Apple $AAPL: +1,112%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%

@PeterSchiff literally picked the worst performing asset.",2021-09-30 18:01:19+00:00,559219,215,442,2532
2,BrianFeroldi,"This thread is just a broad overview of the balance sheet

Want specifics &amp; and a helpful example?

We did a deep dive into the balance sheet on my YouTube channel using $AAPL's recent numbers as an example

https://t.co/BTWrUomWe8",2021-09-30 15:30:03+00:00,213150,6,17,215
3,DecadeInvestor,"In 2020, Tim Cook, CEO of $AAPL, earned $265,000,000 in total compensation.

In 2020, Warren Buffett earned ~$755,079,143 in dividends from $AAPL. 

ZERO hours clocked, ZERO meetings &amp; ZERO headaches caused. 

Invest.",2021-09-30 13:36:10+00:00,33383,21,68,361
4,TheFBAInvestor,"I bought my first $AAPL stock in 2010. 

Since then it has seen a 1,372.29% increase. 

Tell me again... Why don't you invest?",2021-09-30 10:19:31+00:00,14836,22,36,237
5,MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $LCID
2. $TSLA
3. $PLTR
4. $WISH
5. $SOFI
6. $QQQ
7. $IRNT
8. $AMZN
9. $AAPL
10. $AMD",2021-09-29 23:24:02+00:00,128553,22,36,224
6,Pharmdca,"My top 10 concentrated 2021 positions in Biotechs 
$PAVM &gt; $PDSB &gt; $LPTX &gt; $MYOV $CMRX &gt; $MREO &gt; $OCUL &gt; $ACHL &gt; $ONCT &gt; $CRVS

My top 5 concentrated positions in Tech

$TNDM &gt; $SE &gt; $TTD &gt; $AAPL &gt; $APPS",2021-09-29 21:57:31+00:00,75933,22,19,229
7,Gfilche,"$TSLA will get bigger than $AAPL with 10M cars, at $35K ASP, with 40% ROIC and a 40X multiple 

@freshjiva comes back on HyperChange so we can settle the ""is robotaxi priced into Tesla stock"" debate once and for all @elonmusk
 https://t.co/QlnI5uyuvy",2021-09-29 20:55:04+00:00,59954,68,125,1765
8,DontFeedBear,"If you survived Q1 with a growth/tech portfolio…you can survive this. Don’t freak out. 

$QQQ $SPY $MSFT $AAPL $AMD $NVDA $PLTR $DKNG $FUBO $U $NET $TWLO $QS $PLUG $ARKK $BLNK $TTD $ZEN $PYPL https://t.co/ZkSCaHROLk",2021-09-29 16:32:46+00:00,10253,16,26,221
9,JesseCohenInv,$AAPL $MSFT $AMZN $GOOGL $FB $TSLA https://t.co/xPwW2jHw1B,2021-09-28 20:40:27+00:00,33042,29,100,458
10,tradingview,"$SPY -1.92%
$QQQ -2.65%
$AAPL -2.35%
$MSFT -2.9%
$AMZN -2.9%
$NVDA -4.2%
$FB -3.7%
$PYPL -3.8%

It's that kind of day. https://t.co/l2jbviRVOr",2021-09-28 17:56:03+00:00,318062,34,69,344
11,TheFBAInvestor,"I just bought an Apple 13 Pro.

I hold $AAPL stock. 

I didn't pay for the phone, other people did. 

I also bought it through my company saving over 20% tax. 

Life is good.",2021-09-28 10:05:57+00:00,14369,18,31,310
12,DividendGrowth,"World’s largest dividend payers in 2020

Microsoft $MSFT $16.52 billion
AT&amp;T $T $14.96 billion
ExxonMobil $XOM $14.87 billion
Apple $AAPL $14.08 billion
China Construction Bk $13.2 billion
JP Morgan $JPM $12.69 billion
Johnson&amp;Johnson $JNJ 10.48 billion
Verizon $VZ 10.23 billion",2021-09-27 20:55:00+00:00,81624,15,50,405
13,Dennis_Porter_,"1980: Buy &amp; HODL $AAPL
1986: Buy &amp; HODL $MSFT
1997: Buy &amp; HODL $AMZN
2002: Buy &amp; HODL $NFLX
2010: Buy &amp; HODL $TSLA
2012: Buy &amp; HODL $FB

2021: SELL ALL BUY &amp; HODL #BTC",2021-09-27 16:29:42+00:00,20253,26,71,542
14,Dividend_Dollar,"10 Buy and Never Sell Stocks

💊 $JNJ
🛠️ $HD
☕️ $SBUX
📦 $AMZN
🍎 $AAPL
🐭 $DIS
🏬 $O
🛒 $COST
🖥️ $MSFT
🚀 $RTX",2021-09-27 15:15:00+00:00,29213,39,113,671
15,MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $TSLA
2. $GOEV
3. $BABA
4. $SDC
5. $AAPL
6. $WISH
7. $SOFI
8. $BODY
9. $FB
10. $CLF",2021-09-27 01:54:59+00:00,128553,13,30,268
16,FinancialJuice,"CHINA'S POWER SHORTAGE HITS IPHONE AND TESLA MANUFACTURING, ACCORDING TO NIKKEI. $AAPL $TSLA",2021-09-26 19:25:50+00:00,69839,31,128,592
17,MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $TSLA
2. $GOEV
3. $WISH
4. $GME
5. $BODY
6. $AAPL
7. $AMZN
8. $BABA
9. $FB
10. $TLRY",2021-09-26 16:30:00+00:00,128553,5,31,203
18,Trendspider_J,$AAPL #AAPL Looking beautiful here. https://t.co/TYcp1a7CA3,2021-09-26 16:09:56+00:00,109690,15,20,272
