,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
0,SPYJared,"*U.S. SUPPORTS WAIVER OF VACCINE-PATENT PROTECTIONS AT WTO
*PFIZER, MODERNA FALL ON U.S. SUPPORT OF VACCINE-PATENT WAIVER
$PFE -1.9%, $MRNA -7%, $NVAXZ -7%, $VXRT -15% https://t.co/nRfOgulRpC",2021-05-05 19:17:25+00:00,5042,119,177,894
1,yatesinvesting,"Ima be honest, after reading the $VXRT I think it might go nuts tomorrow. That’s big time actually.",2021-05-04 00:05:33+00:00,241724,26,18,201
2,Vaxart,Our oral #COVID19Vaccine candidate targeting both the S and N proteins is planned to advance to Phase 2 testing during Q2 2021. For a corporate update and to learn more about our Q4 and full year 2020 financial results visit: https://t.co/ZPuHZs119q $VXRT https://t.co/oJSTXV8Lot,2021-02-26 14:00:44+00:00,5890,34,50,227
3,LuoshengPeng,"Stocks 2021

Renewed confidence

$ATOM $RESN $BNGO $NNOX $MARA $KOPN $SAVA $UPST $SDGR

Newly added multi-baggers:

$XONE $YI $QFIN $TIGR $CVLB $FUV $OEG $TRXC

Best SPAC stocks to buy &amp; hold after PIPE selling:

$CCIV $CMLF $SRAC $BFLY $ACIC $BFT $IPV

Keep watching

$EH $VXRT",2021-02-20 22:50:56+00:00,44380,47,110,581
4,Vaxart,Today we announced positive preliminary data from our Phase 1 clinical trial evaluating our #OralVaccine candidate. Read press release for more details: https://t.co/OAoluJWlqd $VXRT https://t.co/k1Km1HkYVe,2021-02-03 13:42:47+00:00,5890,101,102,321
5,Vaxart,Vaxart is developing a new generation of #OralVaccines that could provide more comprehensive protection from both infection and transmission while overcoming global distribution barriers. To learn more about our work visit: https://t.co/oN7OZnKhl2 $VXRT https://t.co/1upNH1sq0U,2021-02-02 15:39:11+00:00,5890,65,134,462
6,LuoshengPeng,"Here is how the 2021 5-10X candidates have fared YTD:

🥇 $BNGO +258.77%
🥈 $RESN +113.96%
🥉 $VXRT +109.81%
🏅 $MARA +98.66%
🏅 $ATOM +78.50%
🏅 $NNOX +65.97%

I'm looking to adding a few more in the next week.",2021-01-30 02:08:01+00:00,44380,45,32,373
7,wallstreetbets_,"We can all play games... 
#WSB #wallstreetbets $GME $BB $BBBY $PLTR $NIO $BABA $TSLA $AMC $AMD $MSFT $AAPL $VXRT $KOSS $AMRN $AMZN $CATB $NOK $KODK https://t.co/3WzVj7bfCn",2021-01-29 17:52:32+00:00,58303,16,42,251
8,wallstreetbets_,"In one ear and out the other? 
#WSB $GME $NVAX $SLV $SIEB $VXRT $AMC $KOSS $TSLA $PLTR $DOGE.X #dogecoin $AAPL $CATB $BABA $NIO https://t.co/6hqaKJ3r82",2021-01-29 17:21:00+00:00,58303,25,26,270
9,Vaxart,.@AmJPrevMed published findings which showed that vaccinating against the #norovirus is cost effective at a much higher value than previously estimated and has the potential to avert symptomatic cases. Read press release for more details:https://t.co/EJl2fmsB8E $VXRT #oralvaccine https://t.co/cBSyl1qBJI,2021-01-27 14:09:43+00:00,5890,19,37,200
10,Vaxart,Welcome to Vaxart Twitter page! Follow us to learn more about our work to provide millions of people globally at risk of preventable #infectiousdiseases with safe and effective #oralvaccines. Visit our website: https://t.co/AomaGNUg4o $VXRT https://t.co/7HFxFCqy90,2021-01-25 18:17:05+00:00,5890,70,90,423
11,LuoshengPeng,"What're your top game chgers?

I'll start mine:

TWST: SynBio
CRSP: Gene editing
PACB: Gene sequencing
VXRT: Oral vax
NNOX: Digital X-ray
LGVW:  Handheld ultrasound
TBIIF: Eye-tracking
MASS: Handheld mass spec
QS - EV Batteries
LAZR - EV Lidar
ATOM - Semi material
OPEN - iBuying",2021-01-02 23:27:45+00:00,44380,44,50,422
12,LuoshengPeng,"These 4 stocks can be serious candidate for 10X in 2021 in the order of increasing risk:

$RESN - 5G RF filters for smartphones/IOT/EVs
$ATOM - Material IC performance improvement
$NNOX - Digital X-ray source for medical imaging apps
$VXRT - Oral tablet vaccines for CV19/flu",2021-01-01 03:02:01+00:00,44380,25,42,279
