,Unnamed: 0,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned_tweets
0,0,SPYJared,"*U.S. SUPPORTS WAIVER OF VACCINE-PATENT PROTECTIONS AT WTO
*PFIZER, MODERNA FALL ON U.S. SUPPORT OF VACCINE-PATENT WAIVER
$PFE -1.9%, $MRNA -7%, $NVAXZ -7%, $VXRT -15% https://t.co/nRfOgulRpC",2021-05-05 19:17:25+00:00,5042,119,177,894,u s supports waiver of vaccine-patent protections at wto pfizer moderna fall on u s support of vaccine-patent waiver pfe -1 9 mrna -7 nvaxz -7 vxrt -15
1,1,yatesinvesting,"Ima be honest, after reading the $VXRT I think it might go nuts tomorrow. That’s big time actually.",2021-05-04 00:05:33+00:00,241720,26,18,201,ima be honest after reading the vxrt i think it might go nuts tomorrow that s big time actually
2,2,Vaxart,Our oral #COVID19Vaccine candidate targeting both the S and N proteins is planned to advance to Phase 2 testing during Q2 2021. For a corporate update and to learn more about our Q4 and full year 2020 financial results visit: https://t.co/ZPuHZs119q $VXRT https://t.co/oJSTXV8Lot,2021-02-26 14:00:44+00:00,5890,34,50,227,our oral candidate targeting both the s and n proteins is planned to advance to phase 2 testing during q2 2021 for a corporate update and to learn more about our q4 and full year 2020 financial results visit vxrt
3,3,LuoshengPeng,"Stocks 2021

Renewed confidence

$ATOM $RESN $BNGO $NNOX $MARA $KOPN $SAVA $UPST $SDGR

Newly added multi-baggers:

$XONE $YI $QFIN $TIGR $CVLB $FUV $OEG $TRXC

Best SPAC stocks to buy &amp; hold after PIPE selling:

$CCIV $CMLF $SRAC $BFLY $ACIC $BFT $IPV

Keep watching

$EH $VXRT",2021-02-20 22:50:56+00:00,44378,47,110,581,stocks 2021 renewed confidence atom resn bngo nnox mara kopn sava upst sdgr newly added multi-baggers xone yi qfin tigr cvlb fuv oeg trxc best spac stocks to buy amp hold after pipe selling cciv cmlf srac bfly acic bft ipv keep watching eh vxrt
4,4,Vaxart,Today we announced positive preliminary data from our Phase 1 clinical trial evaluating our #OralVaccine candidate. Read press release for more details: https://t.co/OAoluJWlqd $VXRT https://t.co/k1Km1HkYVe,2021-02-03 13:42:47+00:00,5890,101,102,321,today we announced positive preliminary data from our phase 1 clinical trial evaluating our candidate read press release for more details vxrt
5,5,Vaxart,Vaxart is developing a new generation of #OralVaccines that could provide more comprehensive protection from both infection and transmission while overcoming global distribution barriers. To learn more about our work visit: https://t.co/oN7OZnKhl2 $VXRT https://t.co/1upNH1sq0U,2021-02-02 15:39:11+00:00,5890,65,134,462,vaxart is developing a new generation of that could provide more comprehensive protection from both infection and transmission while overcoming global distribution barriers to learn more about our work visit vxrt
6,6,LuoshengPeng,"Here is how the 2021 5-10X candidates have fared YTD:

🥇 $BNGO +258.77%
🥈 $RESN +113.96%
🥉 $VXRT +109.81%
🏅 $MARA +98.66%
🏅 $ATOM +78.50%
🏅 $NNOX +65.97%

I'm looking to adding a few more in the next week.",2021-01-30 02:08:01+00:00,44378,45,32,373,here is how the 2021 5-10x candidates have fared ytd bngo 258 77 resn 113 96 vxrt 109 81 mara 98 66 atom 78 50 nnox 65 97 i'm looking to adding a few more in the next week
7,7,wallstreetbets_,"We can all play games... 
#WSB #wallstreetbets $GME $BB $BBBY $PLTR $NIO $BABA $TSLA $AMC $AMD $MSFT $AAPL $VXRT $KOSS $AMRN $AMZN $CATB $NOK $KODK https://t.co/3WzVj7bfCn",2021-01-29 17:52:32+00:00,58303,16,42,251,we can all play games gme bb bbby pltr nio baba tsla amc amd msft aapl vxrt koss amrn amzn catb nok kodk
8,8,wallstreetbets_,"In one ear and out the other? 
#WSB $GME $NVAX $SLV $SIEB $VXRT $AMC $KOSS $TSLA $PLTR $DOGE.X #dogecoin $AAPL $CATB $BABA $NIO https://t.co/6hqaKJ3r82",2021-01-29 17:21:00+00:00,58303,25,26,270,in one ear and out the other gme nvax slv sieb vxrt amc koss tsla pltr doge x aapl catb baba nio
10,10,Vaxart,Welcome to Vaxart Twitter page! Follow us to learn more about our work to provide millions of people globally at risk of preventable #infectiousdiseases with safe and effective #oralvaccines. Visit our website: https://t.co/AomaGNUg4o $VXRT https://t.co/7HFxFCqy90,2021-01-25 18:17:05+00:00,5890,70,90,423,welcome to vaxart twitter page follow us to learn more about our work to provide millions of people globally at risk of preventable with safe and effective visit our website vxrt
11,11,LuoshengPeng,"What're your top game chgers?

I'll start mine:

TWST: SynBio
CRSP: Gene editing
PACB: Gene sequencing
VXRT: Oral vax
NNOX: Digital X-ray
LGVW:  Handheld ultrasound
TBIIF: Eye-tracking
MASS: Handheld mass spec
QS - EV Batteries
LAZR - EV Lidar
ATOM - Semi material
OPEN - iBuying",2021-01-02 23:27:45+00:00,44378,44,50,422,what're your top game chgers i'll start mine twst synbio crsp gene editing pacb gene sequencing vxrt oral vax nnox digital x-ray lgvw handheld ultrasound tbiif eye-tracking mass handheld mass spec qs - ev batteries lazr - ev lidar atom - semi material open - ibuying
12,12,LuoshengPeng,"These 4 stocks can be serious candidate for 10X in 2021 in the order of increasing risk:

$RESN - 5G RF filters for smartphones/IOT/EVs
$ATOM - Material IC performance improvement
$NNOX - Digital X-ray source for medical imaging apps
$VXRT - Oral tablet vaccines for CV19/flu",2021-01-01 03:02:01+00:00,44379,25,42,279,these 4 stocks can be serious candidate for 10x in 2021 in the order of increasing risk resn - 5g rf filters for smartphones iot evs atom - material ic performance improvement nnox - digital x-ray source for medical imaging apps vxrt - oral tablet vaccines for cv19 flu
